,标题,作者,调整出版物名称,出版年,起始页面,结束页面,Pages,会议名称,合计引用次数,每年的平均数,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Author_number
1837,An Unusual Etiology for Acute Myocardial Infarction,"Ali, Aleem Azal; Lalchansingh, Dayna; Ali, Ronan George; Cummings, Tricia Ann",AMERICAN JOURNAL OF MEDICINE,2019,614,615,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
1838,Animals in the Hospital,"Alpert, Joseph S.",AMERICAN JOURNAL OF MEDICINE,2019,779,780,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1839,Misconceptions and Facts About Beta-Blockers,"Argulian, Edgar; Bangalore, Sripal; Messerli, Franz H.",AMERICAN JOURNAL OF MEDICINE,2019,816,819,3,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
1840,Impact of Average Daily and Cumulative Dose of Statins on Mortality Risk Among Healthy Elderly Reply,"Bezin, Julien; Moore, Nicholas; Steg, Philippe Gabriel; Pariente, Antoine",AMERICAN JOURNAL OF MEDICINE,2019,622,622,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
1841,Non-Alcoholic Fatty Liver Disease and Disease Mongering,"Braillon, Alain",AMERICAN JOURNAL OF MEDICINE,2019,626,626,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1842,A Unilateral Facial Rash with Eye Involvement,"Buell, Kevin G.; Trumbo, Silas P.; Haase, Volker H.",AMERICAN JOURNAL OF MEDICINE,2019,823,825,2,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
1843,Optimal Systolic Blood Pressure Target in Resistant Hypertension,"Egan, Brent M.",AMERICAN JOURNAL OF MEDICINE,2019,623,623,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1844,Babesiosis Masquerading as Evans Syndrome,"Elder, Simran A.; O'Brien, Jennifer J.; Singh, Zeba N.; Wilding, Emily; Zimrin, Ann B.; Law, Jennie Y.; Baer, Maria R.",AMERICAN JOURNAL OF MEDICINE,2019,616,617,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
1845,"A Pictorial Essay of Immunotherapy: Complications that Internists Will See, Whether They Like it or Not","Evens, Ashley; Cyriac, George; Jeong, Daniel; Araujo, Cyrillo; Gage, Kenneth; Rose, Trevor",AMERICAN JOURNAL OF MEDICINE,2019,808,815,7,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
1846,Underutilization of Aspirin in Patients With Advanced Colorectal Polyps,"Fiedler, Benjamin; Fiedler, Lawrence; DeDonno, Michael; Anago, Kosi; de la Cruz, Leonie; Luck, George R.; Hennekens, Charles H.",AMERICAN JOURNAL OF MEDICINE,2019,884,885,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
1847,Swollen Hands and Fist Sign in Acromegaly,"Harada, Ko; Hasegawa, Kou; Otsuka, Fumio",AMERICAN JOURNAL OF MEDICINE,2019,618,619,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
1848,America's Health Care System is Broken: What Went Wrong and How We Can Fix It. Part 2: Health Insurance,"Hoffer, Edward P.",AMERICAN JOURNAL OF MEDICINE,2019,791,794,3,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1849,A Man with Right Lower Quadrant Abdominal Pain,"Lin, Shum-Shin; Han, Ching-Yu; Chen, Chun-Yu; Su, Yu-Jang",AMERICAN JOURNAL OF MEDICINE,2019,830,832,2,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
1850,Dyspnea and Near Syncope in a Young Female Following Delivery,"Mahajan, Sugandhi; Rawal, Harsh; Youssef, Elias; Mehta, Sanjay",AMERICAN JOURNAL OF MEDICINE,2019,612,613,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
1851,Aspirin Use in Patients Undergoing Preoperative Evaluation for Minor Surgery,"Mattioli, Anna Vittoria; Farinetti, Alberto; Gelmini, Roberta",AMERICAN JOURNAL OF MEDICINE,2019,629,629,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
1852,Osteoarticular Sporotrichosis vs Rheumatoid Arthritis: A Tale of Two Granulomatous Arthritides,"McLawhorn, Justin M.; Khattab, Mohamad; Martinez-Parachini, Roberto; Thind, Sharanjeet; Kirkpatrick, Angelia; Vaseer, Samera",AMERICAN JOURNAL OF MEDICINE,2019,826,829,3,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
1853,Academic Hospitalists and Health Care Costs,"Robbins, Richard J.; Perez, Jose A., Jr.; Awar, Melina; Clewing, Johanna M.",AMERICAN JOURNAL OF MEDICINE,2019,628,628,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
1854,Chronic Myocardial Injury and Risk for Stroke,"Ryden, Linda; Roos, Andreas; Holzmann, Martin J.",AMERICAN JOURNAL OF MEDICINE,2019,833,839,6,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
1855,Appropriateness of Cardiac Troponin Testing: Insights from the Use of TROPonin In Acute coronary syndromes (UTROPIA) Study,"Sandoval, Yader; Gunsolus, Ian L.; Smith, Stephen W.; Sexter, Anne; Thordsen, Sarah E.; Carlson, Michelle D.; Johnson, Benjamin K.; Bruen, Charles A.; Dodd, Kenneth W.; Driver, Brian E.; Jacoby, Katherine; Love, Sara A.; Moore, Johanna C.; Scott, Nathaniel L.; Schulz, Karen; Apple, Fred S.",AMERICAN JOURNAL OF MEDICINE,2019,869,874,5,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
1856,An Ominous Facial Droop,"Sandre, Anthony R.; Kapoor, Andrew; Lu, Jian-Qiang; Horner, Ellias; Chakroborty, Amitabha; Goswami, Ankur",AMERICAN JOURNAL OF MEDICINE,2019,820,822,2,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
1857,Optimal Systolic Blood Pressure Target in Resistant Hypertension Reply,"Smith, Steven M.",AMERICAN JOURNAL OF MEDICINE,2019,624,625,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1858,Assessing the Effect of the BRIDGE Trial in Clinical Practice,"Sorigue, Marc; Santos-Gomez, Mireia; Sarrate, Edurne",AMERICAN JOURNAL OF MEDICINE,2019,630,630,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
1859,Non-Alcoholic Fatty Liver Disease and Disease Mongering Reply,"Wang, Long; Xu, Yu; Bi, Yufang",AMERICAN JOURNAL OF MEDICINE,2019,627,627,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
1860,Confusion Following Treatment of Ovarian Cancer,"Wills, Beatriz; Fan, Qihua; Alexander, Caitlin; Bailey, Christopher R.; Gelber, Allan C.",AMERICAN JOURNAL OF MEDICINE,2019,610,611,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1861,Endoscopic Ultrasound First Policy in Acute Pancreatitis of Presumed Biliary Origin,"Zimmer, Vincent",AMERICAN JOURNAL OF MEDICINE,2019,620,620,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1862,The Importance of Being Curious,"Adashi, Eli Y.; Ahmed, Abdul-Kareem H.; Gruppuso, Philip A.",AMERICAN JOURNAL OF MEDICINE,2019,673,674,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
1863,Do Physicians Need a Storyteller Education in the Field of Nutrition?,"Baty, Vincent",AMERICAN JOURNAL OF MEDICINE,2019,593,593,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1864,A Case of Catatonia Nearly Mistaken for Hepatic Encephalopathy,"Buell, Kevin G.; Kiser, S. B.; Vasilevskis, Eduard E.",AMERICAN JOURNAL OF MEDICINE,2019,587,588,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
1865,New Treatment Options for Depression: A Primer for Internists,"Byun, Tina H.; Chaliki, Swarna S.; Poole, Kenneth G., Jr.",AMERICAN JOURNAL OF MEDICINE,2019,678,684,6,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
1866,Limp and Fever Leading to a Surprising Diagnosis,"Chebli, Liliana Andrade; Gaburri, Pedro Duarte; Fonseca Chebli, Julio Maria",AMERICAN JOURNAL OF MEDICINE,2019,704,705,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
1867,What Lurks Beneath: A Subaortic Membrane,"Chen, Lily; Schelegle, Aaron; Choi, Jeong; Amsterdam, Ezra A.",AMERICAN JOURNAL OF MEDICINE,2019,698,700,2,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
1868,Toward the 'Shazam-Like' Identification of Valve Diseases with Digital Auscultation? Reply,"Flint, Nir; Thomas, Felix; Setareh-Shenas, Saman; Siegel, Robert J.",AMERICAN JOURNAL OF MEDICINE,2019,662,662,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
1869,An Uncommon Presentation of Pancreatic Carcinoma,"Greco, Monica; Negrini, Simone; Schiavi, Chiara; Giusti, Francesca; Borro, Matteo; Vassallo, Chiara; Puppo, Francesco; Murdaca, Giuseppe",AMERICAN JOURNAL OF MEDICINE,2019,583,584,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
1870,Where Does the Blame for High Health Care Costs Go? An Empirical Analysis of Newspaper and Journal Articles Criticizing Health Care Costs,"Haslam, Alyson; Crain, Tyler; Gill, Jennifer; Herrera-Perez, Diana; Prasad, Vinay",AMERICAN JOURNAL OF MEDICINE,2019,718,721,3,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1871,The Luckiest Man on the Face of the Earth,"Hoenig, Leonard J.",AMERICAN JOURNAL OF MEDICINE,2019,776,777,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1872,Overlapping Syndrome of Systemic Scleroderma and Cryoglobulinemic Vasculitis,"Horino, Taro; Hamada-Ode, Kazu; Ichii, Osamu; Terada, Yoshio",AMERICAN JOURNAL OF MEDICINE,2019,589,590,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
1873,Dietary fat and cancer.,"Kushi, Lawrence; Giovannucci, Edward",AMERICAN JOURNAL OF MEDICINE,2002,63,70,7,0,16,0.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,4,1,1,0,2,0,1,0,0,0,0,0,0,0,2
1874,Toward the 'Shazam-Like' Identification of Valve Diseases with Digital Auscultation?,"Michard, Frederic; Badheka, Apurva",AMERICAN JOURNAL OF MEDICINE,2019,595,596,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1875,A Case of Miller Fisher Syndrome,"Mwansa, Hunter; Obiekezie, Obinna; Kaneria, Samir",AMERICAN JOURNAL OF MEDICINE,2019,591,592,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
1876,"Etiological Research Using Observational Data, and Net Clinical Benefit. Simplicity and Practicality Matter","Nielsen, Peter Bronnum; Buchan, Iain; Lip, Gregory Y. H.",AMERICAN JOURNAL OF MEDICINE,2019,671,672,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
1877,"Mass Screening for Atrial Fibrillation: The Hype, The Methods, and The Application","Reiffel, James A.",AMERICAN JOURNAL OF MEDICINE,2019,668,670,2,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1878,Anticoagulation Therapy in Patients with Liver Cirrhosis is Associated with an Increased Risk of Variceal Hemorrhage,"Sasso, Roula; Rockey, Don C.",AMERICAN JOURNAL OF MEDICINE,2019,758,766,8,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1879,A Fateful Miss: Ground-Level Fall Revealing Occult Cervical Spinal Stenosis,"Schattner, Ami; Glick, Yair; Dubin, Ina",AMERICAN JOURNAL OF MEDICINE,2019,581,582,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
1880,Fever and Rash in an Adult: Varicella Re-infection in Conjunction with Newly Diagnosed Chronic Lymphocytic Leukemia,"Shah, Arpan; Goel, Kanika; Uchin, Jeffery; Patibandla, Sai Krishna; Min, Zaw; Bhanot, Nitin",AMERICAN JOURNAL OF MEDICINE,2019,701,703,2,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
1881,Spontaneous Pneumothorax in a Young Woman,"Van Hook, Charles J.; Sullivan, Paul R.; Seymour, Michael",AMERICAN JOURNAL OF MEDICINE,2019,706,707,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
1882,Pneumocystis Pneumonia Complicated by Extensive Diffuse Pneumatoceles,"Albitar, Hasan Ahmad Hasan; Abu Saleh, Omar M.",AMERICAN JOURNAL OF MEDICINE,2019,562,563,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1883,Challenging to Treat: Fluctuating Abdominal and Joint Pain and Rash,"Allen, Katherine L.; Dein, Eric J.; Ali, Osama M. E.; Gelber, Allan C.",AMERICAN JOURNAL OF MEDICINE,2019,579,582,3,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
1884,Recurrent Abdominal Pain in Systemic Lupus Erythematosus: Concurrent Lupus Enteritis and Lupus Cystitis,"Andres Castano-Gonzalez, Pablo; Alonso Gonzalez, Luis",AMERICAN JOURNAL OF MEDICINE,2019,557,558,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1885,Clinical Features and Prognosis of Patients with Acute and Chronic Myocardial Injury Admitted to the Emergency Department,"Bardaji, Alfredo; Bonet, Gil; Carrasquer, Anna; Gonzalez-del Hoyo, Maribel; Vasquez-Nunez, Karla; Ali, Samuel; Boque, Carme; Cediel, German",AMERICAN JOURNAL OF MEDICINE,2019,614,621,7,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
1886,Pulmonary Embolism in the Differential Diagnosis of Cardiovocal Syndrome Reply,"Coen, Matteo; Bendjelid, Karim",AMERICAN JOURNAL OF MEDICINE,2019,567,567,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1887,The Rheumatoid Hands of Renoir,"Gandhi, Jagdeep Singh",AMERICAN JOURNAL OF MEDICINE,2019,658,659,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1888,Clinical context: current concepts of coronary heart disease management.,"Jacobson, T A",AMERICAN JOURNAL OF MEDICINE,2001,3,11,8,0,15,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,2,2,2,0,1,1,1,0,0,1,0,1,0,0,0,1
1889,Diffuse Vascular FDG Uptake in Late Onset Takayasu Arteritis,"Harada, Ko; Hasegawa, Kou; Otsuka, Fumio",AMERICAN JOURNAL OF MEDICINE,2019,560,561,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
1890,Take It From Sammy,"Hellmann, David B.",AMERICAN JOURNAL OF MEDICINE,2019,660,661,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1891,Pulmonary Embolism in the Differential Diagnosis of Cardiovocal Syndrome,"Jolobe, Oscar M. P.",AMERICAN JOURNAL OF MEDICINE,2019,566,566,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1892,A Curious Case of Transient Movement Disorder,"Kennedy, Katie Newton; Wang, Yunan Darien",AMERICAN JOURNAL OF MEDICINE,2019,585,587,2,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1893,Young Adults and Adverse Childhood Events: A Potent Measure of Cardiovascular Risk,"Kreatsoulas, Catherine; Fleegler, Eric W.; Kubzansky, Laura D.; McGorrian, Catherine M.; Subramanian, Subu, V",AMERICAN JOURNAL OF MEDICINE,2019,605,613,8,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1894,Cardiorespiratory Fitness in Healthy People: A Step Forward to Primary Cardiovascular Health Promotion,"Leggio, Massimo; Tiberti, Cristina; Limongelli, Giorgio; Mazza, Andrea",AMERICAN JOURNAL OF MEDICINE,2019,564,564,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
1895,More Martial than Arts: Coronary Artery Dissection after Chest Kick,"Linhart, Markus; Bragagnini, Walter; Regueiro, Ander; Flores, Eduardo; Mendieta, Guiomar; Martinez-Rubio, Antonio",AMERICAN JOURNAL OF MEDICINE,2019,555,556,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
1896,TUSARC: Prognostic Value of High-Sensitivity Cardiac Troponin T Assay in Asymptomatic Patients with High Cardiovascular Risk,"Martin Raymondi, Diego; Garcia, Hector; Alvarez, Isabel; Hernandez, Luis; Palazuelos Molinero, Jorge; Villamandos, Vicente",AMERICAN JOURNAL OF MEDICINE,2019,631,638,7,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
1897,Pruritic Plaque on the Arm After Treatment for Neurosyphilis,"Sawka, Erika; Foster, Erin; Greiling, Teri M.",AMERICAN JOURNAL OF MEDICINE,2019,583,584,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
1898,The State of Ambulatory Undergraduate Internal Medicine Medical Education: Results of the 2016 Clerkship Directors in Internal Medicine Annual Survey,"Shaheen, Amy W.; Alexandraki, Irene; Fazio, S. B.; Lo, Margaret C.; Packer, Clifford D.; Jasti, Harish; Kisielewski, Michael; Hingle, Susan T.",AMERICAN JOURNAL OF MEDICINE,2019,652,657,5,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
1899,"The Ego Has Landed! What Can Be Done About Research Misconduct, Scandals, and Spins?","Thompson, David R.; Clark, Alexander M.",AMERICAN JOURNAL OF MEDICINE,2019,552,553,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1900,Periprocedural Antithrombotic Management from a Patient Perspective: A Qualitative Analysis,"Acosta, Jennifer; Graves, Christopher; Spranger, Elizabeth; Kurlander, Jacob; Sales, Anne E.; Barnes, Geoffrey D.",AMERICAN JOURNAL OF MEDICINE,2019,525,529,4,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
